step,t,motion_id,phase,phase_label,mode,base_x,base_y,base_z,upright_cos,com_x,com_y,com_z,com_vx,com_vy,com_vz,lin_momentum_norm,ang_momentum_norm,momentum_norm,cp_x,cp_y,cp_margin,com_margin,support_area,support_mode,contact_left,contact_right,grf_left,grf_right,grf_total,torque_norm,torque_max,tracking_err_rms,head_force,torso_force,push_force,arm,seed
13,0.26,horse_stance_hold,0.05652173913043479,transition,nominal,0.0037506449031464977,2.686108777543877e-05,0.7734328298932218,0.9999901285423732,0.02357359885018447,0.00011946137586888532,0.6800736900860569,0.007777629725692552,-4.201325764422784e-05,-0.012980403909727867,0.5045255983265524,0.04271307565640526,0.5063304120816717,0.0256214139770559,0.00010839947300549906,0.07392973517952477,0.07188192004852473,0.049736491843418315,double,1,1,167.9038571434503,167.5338774360823,335.4377345795326,14.865348913958922,8.263068531914843,0.009486974068479098,0.0,0.0,0.0,protective,0
14,0.28,horse_stance_hold,0.060869565217391314,transition,nominal,0.0036731223964286386,2.5661176549346266e-05,0.7730449708093643,0.9999912272209356,0.023733931938368296,0.00011849890966579297,0.6797656295009792,0.007531295017938637,-5.2942193293802556e-05,-0.014275535008205617,0.5381410161867212,0.051300326009698756,0.5405806847744176,0.025716439066426223,0.00010456262442799707,0.07403754886928078,0.07205504173409395,0.04975579178804604,double,1,1,168.30481099312686,167.94732514304854,336.2521361361754,15.553134225294345,8.373161578662266,0.010006368726915994,0.0,0.0,0.0,protective,0
15,0.3,horse_stance_hold,0.06521739130434782,transition,nominal,0.0035686141724195876,2.426518529325351e-05,0.7726206604608693,0.9999921888090404,0.02388912944575504,0.00011733519364327999,0.6794289111480927,0.007226858650794917,-6.229295908560757e-05,-0.015595428860643619,0.5730883274403626,0.060315050891315336,0.5762535348372401,0.025791026773998527,0.00010094151304455036,0.07412641194050107,0.07222451460147339,0.04977771174545271,double,1,1,168.7016632783726,168.3582554467779,337.0599187251504,16.328794393573318,8.492257016673122,0.010607750360074355,0.0,0.0,0.0,protective,0
16,0.32,horse_stance_hold,0.06956521739130435,transition,nominal,0.0034364648473118654,2.2712767750843222e-05,0.7721593334566874,0.9999930136874942,0.024037966319045753,0.0001160024687820898,0.6790630932261434,0.006861283836070955,-7.00096759962046e-05,-0.016939671753820305,0.6093631620909452,0.0697272544143463,0.6133395090173456,0.025843168898887322,9.758293524555093e-05,0.0741943480081582,0.07238914541339256,0.04980237842303282,double,1,1,169.0940114468655,168.76590175362065,337.85991320048623,17.191915659616036,8.620548284400556,0.011284253150712258,0.0,0.0,0.0,protective,0
17,0.34,horse_stance_hold,0.07391304347826089,transition,nominal,0.0032759219595873026,2.1041935732734228e-05,0.7716604264605841,0.9999937046295952,0.024179153333141273,0.00011453376239658735,0.6786677505155907,0.006431376491797375,-7.606591629127026e-05,-0.018307647092171222,0.6469713788182809,0.07950003947097184,0.651837572778613,0.025870754735193312,9.4526659591955e-05,0.0742392712514529,0.0725476698300601,0.04982991179456589,double,1,1,169.4812919096814,169.16933126999066,338.6506231796721,18.140749003587832,8.758199897017125,0.012028555854363854,0.0,0.0,0.0,protective,0
18,0.36,horse_stance_hold,0.0782608695652174,transition,nominal,0.003086131566642996,1.9288854307146485e-05,0.7711233830953326,0.9999942657022783,0.024311338770642704,0.00011296233943760482,0.6782424779458806,0.005934182447996613,-8.046109904014165e-05,-0.01969859418736953,0.6859332132424223,0.08959516094521036,0.6917598325241735,0.02587167748435804,9.180583323297989e-05,0.07425909505843876,0.0726987563209207,0.049860425405078346,double,1,1,169.86282083243046,169.56749734250303,339.4303181749335,19.172486697302894,8.905358930187258,0.012833385107548716,0.0,0.0,0.0,protective,0
19,0.38,horse_stance_hold,0.08260869565217392,transition,nominal,0.0028661516460107995,1.7487772499398685e-05,0.7705476587014708,0.999994701149945,0.024433116694476238,0.00011132121950887328,0.6777868933784247,0.005367261786270248,-8.321746730270897e-05,-0.021111627358923888,0.7262824522935536,0.09997671689438413,0.7331313282287955,0.025843914767828685,8.944730181768566e-05,0.07425181417490934,0.07284101607348697,0.049894026630053274,double,1,1,170.23782652408255,169.95928154919858,340.1971080732812,20.283527252335393,9.75080338703928,0.013691823190231133,0.0,0.0,0.0,protective,0
20,0.4,horse_stance_hold,0.08695652173913045,transition,nominal,0.002614976569520083,1.5671027816470247e-05,0.7699327253772377,0.9999950143033112,0.02454303942819649,0.00010964274833914664,0.6773006402539147,0.004728849182419073,-8.437760248436734e-05,-0.022545727483924423,0.7680622265125936,0.11061317829683069,0.7759863781075085,0.025785583216631845,8.747184336721324e-05,0.07421556035878953,0.07297301653844554,0.04993081688623363,double,1,1,170.60547540332257,170.34352742058527,340.94900282390785,21.469706905103134,10.698495251684635,0.014597462158466922,0.0,0.0,0.0,protective,0
21,0.42,horse_stance_hold,0.09130434782608696,transition,nominal,0.002331566795107617,1.3869074904952338e-05,0.7692780775381389,0.9999952065147402,0.024639632151841742,0.00010795821395115083,0.6767833905350737,0.0040179187738897835,-8.400238015056643e-05,-0.02399971613235504,0.8113189285136138,0.121478073595869,0.8203629234241646,0.02569496995448964,8.58943315597533e-05,0.07414863442622589,0.07309329658847241,0.04997089179055614,double,1,1,170.96489274243638,170.71906701983391,341.6839597622703,22.726488132758437,11.675008298503277,0.015544453108538142,0.0,0.0,0.0,protective,0
22,0.44,horse_stance_hold,0.09565217391304348,transition,nominal,0.0020148792088010656,1.2110502131350469e-05,0.7685832381004893,0.9999952761015952,0.024721407949419353,0.00010629750002326674,0.6762348481943411,0.003234176612478619,-8.216924429585815e-05,-0.025472220710066034,0.8560955363182898,0.13254968911459294,0.8662961314634134,0.025570545413096495,8.472385329524232e-05,0.07404951922207326,0.07320038172091659,0.05001434126526305,double,1,1,171.31517928535098,171.08474160599258,342.3999208913435,24.049104680762184,12.677818258713733,0.016527492088732283,0.0,0.0,0.0,protective,0
23,0.46,horse_stance_hold,0.1,transition,nominal,0.0016638949440614694,1.0422013327145583e-05,0.7678477652957587,0.9999952172737041,0.024786882118281988,0.00010468877150943151,0.6756547533490421,0.002378004397286247,-7.897067019660528e-05,-0.02696163728590786,0.9024253130358575,0.14381013904590367,0.913812235473058,0.02541096255369281,8.396380973172232e-05,0.07391687869148407,0.07329279821718321,0.05006124958997926,double,1,1,171.6554247948185,171.4394176261693,343.0948424209878,25.432667892534294,13.704335119301795,0.01754177276976205,0.0,0.0,0.0,protective,0
24,0.48,horse_stance_hold,0.10434782608695653,transition,nominal,0.001277642809498908,8.828364212748935e-06,0.7670712600536506,0.9999950190246444,0.02483458500544493,0.0001031581901040391,0.6750428870345216,0.0014503760657347074,-7.451269515854803e-05,-0.02846609605836509,0.9503265239408357,0.15524411598514645,0.9629232771376345,0.02521504745822061,8.361203001997334e-05,0.07374954811491981,0.07336908562290104,0.05011169540461714,double,1,1,171.9847194764228,171.7819992112776,343.76671868770046,26.872241449135217,14.751909446017839,0.01858292545991597,0.0,0.0,0.0,protective,0
25,0.5,horse_stance_hold,0.10869565217391305,transition,nominal,0.0008552175514029176,7.3522533218725094e-06,0.7662533738463994,0.9999946639748946,0.024863073028161754,0.00010172965934260161,0.6743990765268122,0.0004527650195002432,-6.891341702202448e-05,-0.029983432813769858,0.9997985017108761,0.16683757005532776,1.0136231147745594,0.024981785636069405,8.366092368024406e-05,0.07354651993997562,0.0734278072935748,0.05016575166972212,double,1,1,172.30216407007367,172.11143820334064,344.41360227341437,28.36289194797319,15.817839312684656,0.019646954086899704,0.0,0.0,0.0,protective,0
26,0.52,horse_stance_hold,0.11304347826086958,transition,nominal,0.00039579300902397793,6.014175154275433e-06,0.7653938168607386,0.9999941271647871,0.024870937842535114,0.0001004246008380521,0.6737232010774465,-0.0006129448023254643,-6.230138768659139e-05,-0.031511168310317694,1.0508191319695184,0.1785764943536745,1.0658848026165022,0.0247103074891938,8.409769198788556e-05,0.07330692872396252,0.07346755904066193,0.05022348559287594,double,1,1,172.6068792136404,172.4267425497083,345.0336217633487,29.899721972330187,16.89937777259715,0.02073017738441679,0.0,0.0,0.0,protective,0
27,0.54,horse_stance_hold,0.1173913043478261,transition,nominal,-0.0001013692206305523,4.832248653431264e-06,0.7644923663538914,0.9999933748046728,0.024856813837640067,9.926176427593964e-05,0.6730151978996727,-0.0017445353928141922,-5.481385910982668e-05,-0.0330464963360226,1.1033436425326035,0.19044592652796327,1.119659253723296,0.024399875374337274,8.490461184870449e-05,0.07303003767937222,0.07348697610894134,0.05028495853086967,double,1,1,172.89801448597865,172.72698368249337,345.624998168472,31.477432218950746,17.99332940748532,0.021829177158353075,0.0,0.0,0.0,protective,0
28,0.56,horse_stance_hold,0.12173913043478263,transition,nominal,-0.0006369297654776416,3.822484683217538e-06,0.763548928767199,0.9999923632726715,0.02481936583184566,9.82555600381486e-05,0.6722751190880923,-0.0029406817597457083,-4.664694670574706e-05,-0.03458488329896554,1.157261356015332,0.20242148885676792,1.1748311816075685,0.02404954963703596,8.604425057104923e-05,0.07271494018611743,0.07348475635096505,0.05035030628909917,double,1,1,173.17169014352282,173.0081774913096,346.17986763483236,33.08971021125182,19.09540865851458,0.022940632913517122,0.0,0.0,0.0,protective,0
29,0.58,horse_stance_hold,0.12608695652173912,transition,nominal,-0.0012115184311004927,3.001852807619018e-06,0.7625636309959631,0.9999910387184636,0.024757249930209814,9.741661881480423e-05,0.6715032149680186,-0.004202250664426734,-3.796013903131147e-05,-0.03611995568494095,1.2124040185887346,0.21446497454044916,1.2312265143322523,0.023657810017565048,8.748506182943299e-05,0.07236024026515177,0.07345968015219133,0.050419884238067945,double,1,1,173.4181437075287,173.26040341969633,346.6785471272251,34.72991017266652,20.200610603786345,0.02406105230634611,0.0,0.0,0.0,protective,0
30,0.6,horse_stance_hold,0.13043478260869565,transition,nominal,-0.0018257829989491885,2.3791058489885546e-06,0.7615367495051115,0.9999893363215374,0.024669104144124883,9.675428531364631e-05,0.670699866028121,-0.0055301493077806125,-2.8884960414336323e-05,-0.03764794834392666,1.2686956887565644,0.22654875903098828,1.2887641719445704,0.02322311023693381,8.92016001248719e-05,0.07196457791670513,0.07341057180329097,0.050494233432069144,double,1,1,173.6285835612877,173.4749073796057,347.1034909408934,36.391619006927264,21.303506803357298,0.02518677236528092,0.0,0.0,0.0,protective,0
31,0.62,horse_stance_hold,0.13478260869565217,transition,nominal,-0.002480390781644971,1.9601315867449995e-06,0.760468598222782,0.9999871781953196,0.024553575134410213,9.627480622478988e-05,0.6698654831718406,-0.00692420209412921,-1.958333712951601e-05,-0.03916632487509499,1.326100056725913,0.23866213645740056,1.34740527527054,0.022744198276664497,9.115744591122802e-05,0.07152690845011028,0.07333628529297337,0.05057399964005958,double,1,1,173.79899595491423,173.64777096146773,347.446766916382,38.06884557590043,22.398533776502806,0.02631409131881184,0.0,0.0,0.0,protective,0
32,0.64,horse_stance_hold,0.1391304347826087,transition,nominal,-0.0031759862901669543,1.7489279688022674e-06,0.7593594813533113,0.9999844709839053,0.02440934601277379,9.598030614876843e-05,0.6690004640556306,-0.008382911841332974,-1.0290638779779023e-05,-0.04067243099168773,1.3845689374954553,0.2508070728652717,1.407101748444845,0.02222020566861898,9.329297590525293e-05,0.07104655507157531,0.07323569540732273,0.050659857883070744,double,1,1,173.9302211818804,173.7798975966602,347.7101187785406,39.755651277410585,23.479211282852603,0.027439397466041935,0.0,0.0,0.0,protective,0
33,0.66,horse_stance_hold,0.14347826086956522,transition,nominal,-0.003913148462015833,1.7477374534886612e-06,0.7582097354018819,0.9999811036697682,0.024235147975366397,9.586931454127536e-05,0.668105233436441,-0.009905011007358473,-1.1518020272875113e-06,-0.04215892508938049,1.4439002028109027,0.26298033076771776,1.4676533821199285,0.021650253039755325,9.556873060199956e-05,0.07052282640311366,0.07310772133768874,0.05075252991543018,double,1,1,174.0259376213709,173.8750970443335,347.90103466570446,41.44649930878145,24.539077656607276,0.028559143582260055,0.0,0.0,0.0,protective,0
34,0.68,horse_stance_hold,0.14782608695652177,transition,nominal,-0.004692362274526297,1.9531207922232627e-06,0.757019749135567,0.999976946677992,0.02402975783225863,9.593866186698714e-05,0.6671802480539536,-0.0114876443879027,7.652709841040023e-06,-0.043621354736475874,1.5039732837698365,0.27518805445354066,1.5289421518184887,0.02103392159517865,9.793439438442032e-05,0.06995543824120345,0.07295127448570496,0.050852695484181955,double,1,1,174.0950830053638,173.9422351290296,348.0373181343934,43.136335714069034,25.57176195440663,0.029669956510204033,0.0,0.0,0.0,protective,0
35,0.7000000000000001,horse_stance_hold,0.15217391304347827,transition,nominal,-0.005514002732947622,2.3588720275140463e-06,0.7557899589258105,0.9999718498848247,0.02379201414879932,9.618097265889326e-05,0.6662259945036731,-0.013126657011721056,1.593367374031185e-05,-0.045054159429676145,1.5646151646431847,0.28744027377337544,1.5907993350571696,0.020371192587680713,0.00010033330593232445,0.06934444640963229,0.07276526798788427,0.05096095787148329,double,1,1,174.16936670025748,174.0144671206917,348.1838338209492,44.820545944779816,26.57814721358013,0.030768673432626653,0.0,0.0,0.0,protective,0
36,0.72,horse_stance_hold,0.1565217391304348,transition,nominal,-0.006378323064940887,2.957288084141492e-06,0.7545209038286281,0.9999656413228977,0.023520807850205584,9.658689392101966e-05,0.6652430244709855,-0.014816386562583538,2.3809472249779872e-05,-0.046463697600450805,1.6260092709232363,0.29974895333158535,1.6534072650595484,0.019662490363090274,0.00010278709008573784,0.06869028970084999,0.07254860721659598,0.05107785204549159,double,1,1,174.2880422049395,174.13108971299243,348.41913191793196,46.4956603228794,27.55688330476856,0.03185243293400554,0.0,0.0,0.0,protective,0
37,0.74,horse_stance_hold,0.16086956521739132,transition,nominal,-0.0072854120826039625,3.7342693795117824e-06,0.7532130731875903,0.9999581229029371,0.023215159162128362,9.714605587653885e-05,0.6642318283181077,-0.016549896546979068,3.123925709432957e-05,-0.047860854494166244,1.688445418017606,0.3121154481109299,1.7170509551478474,0.01890869714905316,0.00010527484832013734,0.06799380412468219,0.07230026618003642,0.05120374381561217,double,1,1,174.37849308187754,174.21586719725758,348.59436027913506,48.16019386982294,28.507170855979126,0.03291890462219208,0.0,0.0,0.0,protective,0
38,0.76,horse_stance_hold,0.16521739130434784,transition,nominal,-0.008235092876440447,4.671769601942475e-06,0.7518668489331519,0.9999490655445047,0.022874297437412525,9.7845942029326e-05,0.6631927879151266,-0.018317398860845668,3.79500517032025e-05,-0.049241654552047404,1.7516856898170057,0.3245405784242697,1.7814963774741834,0.018111641637307566,0.00010771322914970899,0.06725657845776159,0.07201923431578244,0.0513385000888122,double,1,1,174.45682686752514,174.28776673812308,348.74459360564816,49.81177447407766,29.427933551757373,0.03396654008977061,0.0,0.0,0.0,protective,0
39,0.78,horse_stance_hold,0.16956521739130437,transition,nominal,-0.00922692201859751,5.7530772500839e-06,0.7504828972254931,0.9999382105969793,0.022497595783756003,9.867075615346131e-05,0.662126528021799,-0.02011377560658121,4.382104612349582e-05,-0.05058943784385451,1.8151357167912074,0.33696113744476974,1.8461474693315276,0.017272074858958056,0.0001100553811957104,0.066479111005322,0.07170463200557502,0.05148187588730532,double,1,1,174.52773842695242,174.3515924558863,348.87933088283876,51.44732003250959,30.317880547783094,0.034994047798425715,0.0,0.0,0.0,protective,0
40,0.8,horse_stance_hold,0.1739130434782609,transition,nominal,-0.01026027924912364,6.959969713031959e-06,0.7490622961321537,0.9999252774149373,0.022084503534965945,9.960268488070053e-05,0.6610340118872902,-0.021935947643551806,4.8764748059445506e-05,-0.051888085142907533,1.8782523235552422,0.34928764736908435,1.9104537815778992,0.016390289335390808,0.0001122612180496755,0.06566145678114338,0.07135567107545301,0.05163360213976484,double,1,1,174.58824060292505,174.40444434655976,348.9926849494848,53.06356759207578,31.175573494658284,0.03600015958667116,0.0,0.0,0.0,protective,0
41,0.8200000000000001,horse_stance_hold,0.1782608695652174,transition,nominal,-0.011334464886757725,8.272747463749212e-06,0.7476064596885923,0.9999099677345616,0.02163453222810715,0.00010062240325173986,0.6599164724073181,-0.02378066319755939,5.271470780147658e-05,-0.053126171218019685,1.9406471670066967,0.36143334553354445,1.9740176012575692,0.015466680244520047,0.00011429470971251681,0.06480380490036064,0.07097165699943678,0.05179342178363844,double,1,1,174.6344044035364,174.44250779082049,349.07691219435696,54.657347739475355,31.999511531714823,0.03698356518310938,0.0,0.0,0.0,protective,0
42,0.84,horse_stance_hold,0.1826086956521739,transition,nominal,-0.012448744489431939,9.670615070929202e-06,0.7461170322529884,0.9998919667569243,0.021147270217372123,0.00010170945340794916,0.658775321882674,-0.025643640781592522,5.5621819334942627e-05,-0.05429624226853511,2.002046416051506,0.3733246108365718,2.0365561905041947,0.014501981692566434,0.00011612328180709877,0.0639067179541598,0.07055200661628526,0.05196109821745727,double,1,1,174.66370737294062,174.46338507904755,349.1270924519882,56.22553828382221,32.78804915938942,0.037942932700454075,0.0,0.0,0.0,protective,0
43,0.86,horse_stance_hold,0.18695652173913044,transition,nominal,-0.013602349569872236,1.1149244178110987e-05,0.7445958407520652,0.999870943797779,0.020622389913229584,0.00010284084896477318,0.6576121110376307,-0.02752020247371876,5.7441966294824193e-05,-0.05539228097585005,2.0622162438489746,0.3848945252416792,2.0978273599025234,0.013497108482756082,0.00011771320232631765,0.06297101948193468,0.07009630107452948,0.052136432066648655,double,1,1,174.67419140051345,174.46503355064635,349.1392249511598,57.76466456888288,33.5389066319527,0.038876918870046524,0.0,0.0,0.0,protective,0
44,0.88,horse_stance_hold,0.19130434782608696,transition,nominal,-0.014794481061052338,1.2677514580929319e-05,0.7430449396167066,0.9998465571051269,0.020059608609094795,0.00010399625087408839,0.6564285655129808,-0.029407462428638717,5.8175950445632284e-05,-0.056406921379006596,2.1209115240710967,0.3960635833332001,2.1575755038886397,0.012452549637070027,0.0001190450802951042,0.06199735013581247,0.06960440929540622,0.052319329110317066,double,1,1,174.6608321990024,174.44253912227774,349.10337132128006,59.27231941071062,34.250928652935336,0.03978408429870636,0.0,0.0,0.0,protective,0
45,0.9,horse_stance_hold,0.1956521739130435,transition,nominal,-0.0160242738522966,1.4229946353310834e-05,0.7414663955241516,0.999818449332573,0.01945881326570867,0.0001051536776644931,0.6552263907131374,-0.03129602800824816,5.780259387350111e-05,-0.05734168733161499,2.1780504716008378,0.4068188556040067,2.2157178155432127,0.011370640697509852,0.0001200922300589111,0.06098797009759826,0.06907614287802744,0.052509614552686365,double,1,1,174.62729739550917,174.39994227502456,349.02723967053373,60.746433390095085,34.92311237322885,0.04066319204499995,0.0,0.0,0.0,protective,0
46,0.92,horse_stance_hold,0.2,transition,nominal,-0.01729070405731664,1.5783181118924364e-05,0.7398623199283814,0.9997862420236978,0.01882007569781594,0.00010629088998316248,0.6540073133827972,-0.03317701211736098,5.6315331024874163e-05,-0.05819306378353924,2.2333961553614134,0.4171354406229206,2.2720168050889984,0.010253760107792831,0.00012083152722949401,0.059945153718057226,0.06851146954263374,0.05270707029765563,double,1,1,174.57783558678068,174.34155509960473,348.91939068638544,62.18448483588918,35.553933424716625,0.041513212792702675,0.0,0.0,0.0,protective,0
47,0.9400000000000001,horse_stance_hold,0.20434782608695654,transition,nominal,-0.01859257050827544,1.7334517787136383e-05,0.7382350483438976,0.999749545046325,0.018143584866526948,0.00010738384826047617,0.6527732290274333,-0.03504514143734717,5.377068579575602e-05,-0.05895132181258154,2.2865857820205395,0.42695047404861775,2.326104306738806,0.009103458922040576,0.00012125435218137104,0.05887052762312499,0.06791065382312961,0.05291152608929605,double,1,1,174.51090839001571,174.26605847054597,348.77696686056174,63.58455627671556,36.1428957292408,0.04233315529404807,0.0,0.0,0.0,protective,0
48,0.96,horse_stance_hold,0.20869565217391306,transition,nominal,-0.019928524218367986,1.885377515838984e-05,0.7365870941705573,0.9997079630072628,0.01742968119358537,0.00010841684828593195,0.6515261509586978,-0.036892282281427956,5.051988987590207e-05,-0.0596109838623248,2.3373335387410346,0.4362344019682197,2.377693951034123,0.007922167811835414,0.00012143633364537991,0.057766493081699906,0.0672740067360356,0.0531227556399814,double,1,1,174.42904786175387,174.17609840974865,348.6051462715026,64.94507122012605,36.68998898971377,0.043122193478352465,0.0,0.0,0.0,protective,0
